"model","mean_rmse","std_rmse","mean_mae","std_mae","mean_pcc","std_pcc","mean_ktc","std_ktc"
"ANN",0.211276540391707,0.0862429846314924,0.167098939102755,0.063242279304632,0.767092565463435,0.0497524204142717,0.580664351788437,0.0335180599371927
"GRU",0.148858306688875,0.0267027469087024,0.116025142802948,0.0256987828012313,0.78180618546232,0.0439298272660611,0.578940792967727,0.0534605812416673
"LSTM",0.138084743188983,0.0171474539058568,0.109050675338268,0.0189095899121072,0.821048667613458,0.0204892163968317,0.617636936044638,0.0292397154335748
"RF",0.0782946569490088,0.00125191491960818,0.0575254029734867,0.000762067565096151,0.937900062832216,0.00131703489851284,0.781227923718961,0.0036416530294727
"RNN",0.202526734046161,0.0420582345777726,0.161502513340986,0.0384236178786048,0.630827030710333,0.0601822030439389,0.443069469908739,0.0523184794980224
"SVR",0.152550470975132,0,0.126624104878066,0,0.903428714405109,0,0.703315251740326,0
