"model","mean_rmse","std_rmse","mean_mae","std_mae","mean_pcc","std_pcc","mean_ktc","std_ktc"
"ANN",0.576984060267307,0.208521135092193,0.507519389000492,0.194620222774317,0.372905930673896,0.0884384308742232,0.253286599648011,0.0719561689939168
"GRU",0.375243590744662,0.0617751851351185,0.301570794973686,0.057947532686662,0.606044016443733,0.0361656578909468,0.418148288658931,0.0293552072938225
"LSTM",0.292709451915024,0.0442953184234513,0.240044839889239,0.0393139069493736,0.687268905872878,0.0731883432238554,0.491544094227044,0.0630982616383822
"RF",0.119486710267645,0.00229359247967082,0.0947505919902643,0.00216197418992405,0.821498101602882,0.00737347803713896,0.577233534636654,0.0148455287796558
"RNN",0.390407726179935,0.0981036115873885,0.314370947330931,0.082344942255518,0.436716065595616,0.0419256414753119,0.287966682760502,0.0242174327603356
"SVR",0.2758254176561,0,0.235877573377837,0,0.7242294798115,0,0.510658831777474,0
