"model","mean_rmse","std_rmse","mean_mae","std_mae","mean_pcc","std_pcc","mean_ktc","std_ktc"
"ANN",6.94254780604284,1.02033460739203,5.12583528784787,0.755294289770332,0.872142743722741,0.0252365590075216,0.714033018849676,0.026729302513118
"GRU",12.1772669057383,1.28460456013772,9.1850330805735,1.02799864013085,0.733857677747002,0.0302348786479622,0.556013925874066,0.0235457493883375
"LSTM",9.58052936475164,2.53615220716389,8.163255577499,2.29412610085782,0.864410279919951,0.0339366385104998,0.6941043162636,0.0401640499134459
"RF",2.03590642214712,0.02547345281698,1.19894512979792,0.0103436574722352,0.985482136435471,0.000355912201568301,0.923573328034142,0.000604645607517357
"RNN",12.762732342292,4.34792237428899,10.3496055816644,3.6228494772747,0.669059807559735,0.0930189793400973,0.484034066595308,0.088669765990128
"SVR",3.51845564799617,0,2.45763612254037,0,0.956911927738612,0,0.83804888713201,0
