repeat,pollutant,model,rmse,mae,pcc,ktc
0,PM10,RNN,19.85901639670488,17.031308908141806,0.8202688173455214,0.5978126702798672
0,PM10,LSTM,18.82143902846218,16.09887432479392,0.8541637556181901,0.6766855696848463
0,PM10,GRU,30.784851494717746,25.456299722389808,0.6719354168195032,0.48051333945510455
1,PM10,RNN,22.462818882453824,18.849749464072396,0.6792439556638041,0.48558248781736524
1,PM10,LSTM,17.76453198854604,15.029762620914909,0.8790920608616035,0.7004305278028041
1,PM10,GRU,24.974299296803636,20.476132788762616,0.7760427695111646,0.5792435794370597
2,PM10,RNN,16.82746218217005,14.381616518923321,0.8291667168107957,0.6433054182888471
2,PM10,LSTM,15.008589567958317,12.70474066835207,0.8998153104369941,0.7273008255125317
2,PM10,GRU,13.939145840755662,10.505957036005059,0.8537364127773412,0.6713191329223929
3,PM10,RNN,24.503763637611513,21.55261091055336,0.7646623840610404,0.5653015157459699
3,PM10,LSTM,16.85066063182061,14.403496936722373,0.8755566193395374,0.6900483021345349
3,PM10,GRU,26.088181205832765,19.527058870251178,0.6962675341616518,0.5260365785820529
4,PM10,RNN,22.132860441733957,18.460349797090146,0.7964865923678036,0.5911046243268003
4,PM10,LSTM,15.014461746576176,12.769888784833794,0.8902845469653009,0.7152620079694039
4,PM10,GRU,25.489879887206584,19.999649314564007,0.6880676203436039,0.5103107844898067
