repeat,pollutant,model,rmse,mae,pcc,ktc
0,NO2,RF,6.9340049746656875,4.855762918883769,0.9374386573500252,0.8150537674944892
0,NO2,SVR,12.193575307706716,10.120793269842851,0.9217461669586923,0.7659422925108422
0,NO2,ANN,11.47204953328442,8.836828714787202,0.8609581825951503,0.6865016930130462
1,NO2,RF,6.907626720155036,4.82948898314196,0.937770281167786,0.8124157969229306
1,NO2,SVR,12.193575307706716,10.120793269842851,0.9217461669586923,0.7659422925108422
1,NO2,ANN,16.46929958524832,12.834862234935454,0.7336134898934691,0.5731820143176606
2,NO2,RF,6.956662631389667,4.828787003281857,0.9371681729409876,0.8132222622119499
2,NO2,SVR,12.193575307706716,10.120793269842851,0.9217461669586923,0.7659422925108422
2,NO2,ANN,13.994185679795116,10.654680809988113,0.803204519769769,0.5901403965633951
3,NO2,RF,6.940247993756661,4.867064311588134,0.9373214419696062,0.8128077239792765
3,NO2,SVR,12.193575307706716,10.120793269842851,0.9217461669586923,0.7659422925108422
3,NO2,ANN,13.039149230241541,9.916714215200587,0.84793176140127,0.6581095926042988
4,NO2,RF,6.90956488299566,4.818121212724463,0.9380942609279871,0.8141794686764869
4,NO2,SVR,12.193575307706716,10.120793269842851,0.9217461669586923,0.7659422925108422
4,NO2,ANN,11.706736082107772,8.581462233526711,0.8417540195612092,0.6853862083142156
