"model","mean_rmse","std_rmse","mean_mae","std_mae","mean_pcc","std_pcc","mean_ktc","std_ktc"
"ANN",15.4228433823739,4.34605403068963,11.8296478755686,3.48630094654496,0.835390362889953,0.0470907335895854,0.660438774633437,0.0681406185059276
"GRU",17.0341927359386,2.34099235889261,13.4465711265553,2.45927267507289,0.783556713433998,0.0373440284116224,0.600141797367329,0.0475375946335516
"LSTM",13.4413807493061,1.15912380417933,10.8897967011977,1.0916731903844,0.872313648413896,0.0180317722980491,0.695377616116552,0.0206770683607868
"RF",6.77268482282448,0.0647740057021791,4.79453064283603,0.0539738344099782,0.951739495118703,0.000619357860074007,0.828321214787985,0.000452373656429036
"RNN",15.9208085644582,0.955891940119538,12.8958070668054,0.92787599872231,0.764238268300353,0.0228990545013388,0.573932600844,0.0201096415645956
"SVR",9.75668461988423,0,7.63142976105286,0,0.938186193794074,0,0.786271819620166,0
