repeat,pollutant,model,rmse,mae,pcc,ktc
0,PM10,RNN,15.348420773636754,12.17521175842044,0.7424863699911483,0.5732073971348741
0,PM10,LSTM,12.937355519380022,10.409447871561808,0.8796504544690744,0.7013419225125738
0,PM10,GRU,15.743694286727333,12.370831790017018,0.7991168344574231,0.6236827915646276
1,PM10,RNN,17.3034843661595,14.217663463311181,0.7441147288770406,0.5644122116898102
1,PM10,LSTM,11.69776742197003,9.244001114224393,0.8857921926574228,0.7196924650055594
1,PM10,GRU,17.669241578429467,13.141362791883271,0.7835644422008403,0.6109727223648462
2,PM10,RNN,15.955570270145401,13.246136715623486,0.7933508312163972,0.5934887754991185
2,PM10,LSTM,13.792180118835725,11.407600730208557,0.889226349464574,0.7067999546210922
2,PM10,GRU,17.23048209188441,13.663346327475585,0.7192406938735036,0.516232535500687
3,PM10,RNN,16.225344419297432,12.968537092649917,0.7585702645822449,0.54581841428391
3,PM10,LSTM,14.670855014253775,12.058742779981571,0.8592520784554625,0.6809845269880436
3,PM10,GRU,14.124635715659496,10.695709653163183,0.8055385184488434,0.6178370719386517
4,PM10,RNN,14.77122299305202,11.871486304021774,0.7826691468349325,0.5927362056122892
4,PM10,LSTM,14.108745672090766,11.329191010012252,0.8476471670229461,0.6680692114554907
4,PM10,GRU,20.40291000699234,17.361605070237562,0.8103230781893819,0.6319838654678341
