"model","mean_rmse","std_rmse","mean_mae","std_mae","mean_pcc","std_pcc","mean_ktc","std_ktc"
"ANN",10.3365437291396,2.81328127968253,7.70541552370994,2.15323333775721,0.831097321955971,0.0751830831830324,0.61283955333913,0.10854658964863
"GRU",11.4985847258534,1.22382638220423,9.34422395164347,1.12166428509892,0.781157589014119,0.0236450919985287,0.553235312726286,0.0291552394902427
"LSTM",11.5182497663049,0.883220936631462,9.62489959371982,0.953883865242159,0.829596192092027,0.0316288853305971,0.586948436784935,0.0912643654358016
"RF",5.98623288261891,0.0105690842111018,4.17304714725416,0.0247326870785948,0.931877643951124,0.000246827828866502,0.791633391838254,0.000651277608503725
"RNN",15.1705611434558,3.87139018575895,12.5531029391342,3.50336434290357,0.679778179210117,0.0447423801655395,0.478225250757805,0.0424268051302398
"SVR",6.65855265769012,0,5.089737633487,0,0.922314903779916,0,0.749383172317719,0
