"model","mean_rmse","std_rmse","mean_mae","std_mae","mean_pcc","std_pcc","mean_ktc","std_ktc"
"ANN",16.7035221046135,5.95607015295203,13.0505709353678,4.56075230906109,0.75863685511692,0.0918144205621667,0.556440371076896,0.0884604739639348
"GRU",14.3249676506436,1.24489454780654,10.619426124241,0.866963235052492,0.718904465180359,0.0525865299441667,0.512685785962013,0.0491102766143482
"LSTM",11.6020166287197,1.28748787275553,9.70932917764914,1.16714170438681,0.853776081646625,0.0234149446018082,0.630989940086797,0.0413888392203584
"RF",6.40622500846472,0.03479500837739,4.71881617985513,0.038493810514556,0.947573167414856,0.000597220927359813,0.807822772300021,0.00133807047880466
"RNN",16.5194947792573,2.70472867445022,13.4636029201842,2.3981427411038,0.711234548527874,0.0503052851831118,0.478080346562338,0.0522125130804565
"SVR",7.53604203876268,0,5.81230642183911,0,0.930123414670877,0,0.733154075633576,0
