"model","mean_rmse","std_rmse","mean_mae","std_mae","mean_pcc","std_pcc","mean_ktc","std_ktc"
"ANN",2.35728872197527,0.491633531270551,1.89176084894267,0.44346602234902,0.696913000990899,0.0665409437692077,0.501141005323765,0.0748611570458371
"GRU",1.41007793095917,0.378925256692134,1.07678142606627,0.286281276387092,0.787504245909736,0.111148746717304,0.587220865322048,0.11310883248131
"LSTM",1.43875075345388,0.415624885744564,1.14644506811626,0.351426747668582,0.828535002483234,0.0761588404760011,0.657901508709952,0.0739044399625317
"RF",0.354875107320277,0.00879082798950219,0.24850852377881,0.00665389325732347,0.985825024765716,0.000718749188004685,0.895562429751312,0.00409937753582131
"RNN",1.58402283479999,0.22569140846667,1.25835198182779,0.181115827515909,0.755765706079666,0.0398546320763163,0.549553402444723,0.0411666350084185
"SVR",0.389256734025239,0,0.294068893927801,0,0.985040206334342,0,0.891550919827595,0
